Country_and_Time_Period,Migration Change,% Expenditure on healthcare,Infrastructure as % of GDP,Taxing Wages,Infant Mortality,Change in Unemployment,GDP Growth,Life Expectancy
Italy 2008,-0.036203346,8.5577,1.2,38.6,3.5,0.80106857,-1.049824651,81.48536585
Italy 2009,-0.180896548,8.9721,0.7,38.92,3.3,1.112117408,-5.481378532,81.63658537
Italy 2010,0.043700289,8.947,0.5,39.58,3.4,0.84817735,1.710582418,82.03658537
Italy 2011,-0.165305454,8.8271,0.5,40.17,3.2,0.259218121,0.586820837,82.18780488
Italy 2012,-0.093196398,8.8318,0.5,40.47,2.9,2.398469345,-2.770415892,82.23902439
Italy 2013,-0.151544149,8.7716,0.5,40.32,2.9,1.6774125,-1.698274142,82.2902439
Japan 2001,0.015640048,7.6134,1.7,22.54,3.2,0.271992726,0.355461713,81.41707317
Japan 2002,-0.021003055,7.7255,1.6,28.33,3.1,-0.240837625,1.339639988,81.72365854
Japan 2003,0.087568461,7.8634,1.5,25.1,3,-0.094942687,1.667699413,81.57036585
Japan 2004,-0.005174931,7.9193,1.3,24.27,3,-0.509243034,2.360730112,82.0302439
Japan 2005,0.00093015,8.093,1.3,24.71,2.8,-0.296082391,1.302728139,81.92512195
Japan 2006,-0.125448192,8.119,1.2,24.8,2.8,-0.281056878,1.692904249,82.32195122
Japan 2007,0.033858381,8.1783,1.2,25.04,2.6,-0.153102851,2.192186227,82.50707317
Japan 2008,0.023356879,8.5186,1.2,25.21,2.6,0.058527335,-1.041636025,82.58756098
Japan 2009,-0.137636462,9.4113,1.3,24.87,2.6,1.028168583,-5.526976489,82.93146341
Japan 2010,-0.033730292,9.4979,1.1,23.97,2.4,-0.06937511,4.652030143,82.84268293
Japan 2011,-0.070379802,9.9907,1.1,25.11,2.3,-0.447709955,-0.45272483,82.59121951
Japan 2012,0.138866926,10.0862,1.1,27.22,2.3,-0.12534738,1.753689775,83.09609756
Japan 2013,0.009180354,10.2474,1.1,27.47,2.2,-0.316664243,1.613366904,83.33195122
Korea 2001,-0.053001369,4.4852,1.7,15.68,0,-0.367367157,4.525319497,76.34195122
Korea 2002,-0.03024442,4.3396,1.6,15.4,0,-0.668132577,4.449619481,77.09426829
Korea 2003,0.06250118,4.6508,1.7,15.62,5.3,0.33762899,4.424386143,76.71810976
Korea 2004,0.057172465,4.6936,1.4,15.85,0,0.145382931,4.899851507,77.84658537
Korea 2005,0.421212121,5.0415,1.4,16.05,0,0.055028016,3.92368744,78.43268293
Korea 2006,0.194041674,5.4416,1.2,16.64,4.7,-0.266230209,5.176133982,78.96926829
Korea 2007,-0.008591808,5.6231,1.1,17.26,4.1,-0.2129992,5.463406088,79.3495122
Korea 2008,0.006039419,5.8004,1.1,17.63,3.6,0.058944739,2.829214457,79.83268293
Korea 2009,-0.229437344,6.3322,1.2,17.14,3.5,0.532813167,0.707518483,80.29731707
Korea 2010,0.258653863,6.4593,0.9,17.81,3.2,0.245803376,6.496785169,80.55121951
Korea 2011,0.048380933,6.5267,0.9,18.03,3.2,-0.27606551,3.681704667,80.96707317
Korea 2012,-0.023017162,6.6895,0.9,18.56,3,-0.286602801,2.292382426,81.21341463
Korea 2013,0.187100391,6.8739,1.1,18.85,2.9,-0.070768702,2.896,81.4597561
Luxembourg 2001,0.024369904,6.4939,1.1,16.58,5.1,-0.527270792,2.000093883,77.82439024
